id;uuid;name of product/component/feature/subfeature;description;type;status;color_class
12951420;5a372324-05cb-4348-b941-61e7f818e633;Medication Reconciliation;"<p></p>

<p></p>

<https://elationhealth.atlassian.net/wiki/spaces/PROD/pages/244842534/Background+Research+-+Writing+Rx+Documenting+Meds>";feature;Done (Archive);green
12951424;acdcdc29-c7f8-412f-a3bd-cd2139c72c45;Omnibar;"AWV command?

<p></p>

Phill's hack to use Omnibar to add prescriptions for ""order sets"" 

<https://elation.slack.com/archives/C0388B1UUGJ/p1651264900355599>";feature;Discovery Candidate;cyan
12951433;9fb4fc69-924f-4b53-b20c-0ac91706fece;DW Participant Workflows;"";feature;Discovery Candidate;cyan
12951436;6f48f054-71a8-48fa-ade8-5ffc0379ae9e;HRA supported better in Elation;"New clinical questionnaires

Dynamic templates

Omnibar - AWV command that imports the correct fields";subfeature;Backlog;smokeLight
12951438;c373c403-0f25-4af0-839e-e4965a202981;Supporting coding;"";subfeature;Backlog;smokeLight
12951440;c25d60b2-3b89-43a8-9d96-12c02a6006c0;Missing ability to import clinical profile fields to visit note;"";subfeature;Backlog;smokeLight
12951441;d7b8e265-58dd-45c5-9c75-34a4b1ee3131;Dynamic visit note templates;"";subfeature;Backlog;smokeLight
12951444;22dcf674-f0a5-4a78-9a40-89277eec77ab;Transitions of Care post-discharge cumulative collaborative note;"";subfeature;Backlog;smokeLight
12951448;23ac07fd-0864-46a2-baf5-1e97f3fcc750;See appointment information through CHR;"";subfeature;Backlog;smokeLight
12951450;033651d0-425f-4fb4-ae59-3969912e234c;Office messages through CHR;"";subfeature;Backlog;smokeLight
12951484;5f8c1b40-8898-4f5f-a204-d518379161c5;Order Sets Scaffolding MVP;"";subfeature;Discovery In Progress (PRD);plum
12973362;aadb3526-0f3a-4542-8bf3-914cc685e53c;Robust log changes for Appointment History;"";feature;Backlog;smokeLight
12973621;13b8b46d-14d7-4f6b-bdd6-ba7269db7c30;Send Passport Invitations Automatically;"";feature;Backlog;smokeLight
12973638;ad975e06-4ed2-4b60-b182-fbbababbb404;Support Payments Providers Other Than Stripe;"";feature;Backlog;smokeLight
12973684;d3542472-6ce8-4016-aa11-f89068f27964;Ability to print list of all upcoming appointments;"";feature;Backlog;smokeLight
12973737;7fdb2e26-d598-4da3-89ea-889732183491;Support other custom question types (Yes/No, multiple choice, etc.);"";feature;Backlog;smokeLight
12973790;d24c8b71-e800-471f-b4ec-f9954597219b;Phone communication with patients;"";subfeature;Backlog;smokeLight
12973800;c85e1c0e-9982-4d3c-94f5-ad57033792df;Ability to print immunization records;"";feature;Backlog;smokeLight
12977873;baac5ab5-9158-4d2a-bfe3-f52a7456bc81;Support DW RAF Care Gaps Import;"<https://elationhealth.atlassian.net/jira/software/c/projects/DW/issues/DW-64>

<p></p>";subfeature;Backlog;smokeLight
12979272;cb4a59db-b5d9-4bf6-bb12-926cec20d088;Kareo visit note import improvements;Our current Kareo visit note import capabilities are pretty limited. We frequently have asks to import Kareo data in a more structured/useful way. There isn't much discovery to do here (we know it's a thing we need to do, and we have the basic infrastructure in place to support it);feature;Done (Archive);green
12998604;b85fc35d-e4a5-42ac-b15f-5001386d9571;Vital layout / grid system (foundations of responsivity);Easy-to-use layout system that can easily move a responsive design from design through to implementation. ;feature;Done (Archive);green
12999601;200d2b89-595f-4e56-8a36-8af20013747d;Structured sigs;"From Surescripts:

![](https://pb-files.s3.amazonaws.com/production/attachments/a921c3bc143bc9974c498e2bee382717a5fc3b46f5f4f04e6ae612dbb06a99b1/image.png)

![](https://files.slack.com/files-pri/T024M4L1Z-F03BZQZNVNV/image.png)

<p></p>";feature;Backlog;smokeLight
12999661;e9addbf7-4edb-473b-aec4-27968a8cd048;Import Labs and Associated Problems;"~5% of providers (and ~8% of providers who use visit notes), use this button

<p></p>

![](https://pb-files.s3.amazonaws.com/production/attachments/426ff1e90c7ba62fd17b805d1340841c8655a8134308ca4310833a4eb7299d2b/image.png)

![](https://files.slack.com/files-pri/T024M4L1Z-F03AW7BBWKG/image.png)

<p></p>";feature;Backlog;smokeLight
13000646;e0561475-da6f-48bf-ba27-edc2c996e992;Care Plans;"- initially they need to document the patient’s consent (can collect verbally or in writing), demographics, med list, allergies, care plan

- they need to share the care plan with patient/caregivers

- then update the care plan on an ongoing basis with progress/changes as they check in with the patient.

- separately need to log how many minutes people in the practice are spending on CCM activities - who did it, what they did, how much time


<p></p>";feature;Backlog;smokeLight
13000648;29cc7d94-8bbf-47c6-b8f4-ada4a54242a7;Chronic Care Management;"";feature;Cancelled;red
13000980;c45d73a2-ea21-49e6-89c0-4b07f562e47f;PRN;"";subfeature;Backlog;smokeLight
13042984;8f4a8efa-761b-453f-9f7e-5b72b037972c;More clinical questionnaires;<p></p>;feature;Discovery Candidate;cyan
13083055;b2c680ee-c902-4a45-b3c6-4a20038ed283;Care Team section enhancements;"";feature;Backlog;smokeLight
13083293;4bebcc4f-b664-4d18-9899-8a359b467e28;User-specific location settings;"";feature;Backlog;smokeLight
13086531;0b1bb2c9-8a63-4ca0-952e-ef8624cf8924;Automatically select Temporary vs. Permanent in Rx Dialog;"<https://elation.slack.com/archives/C0388B1UUGJ/p1650651933199319>

<p></p>";feature;Discovery Candidate;cyan
13089177;e63f2c0e-19f3-4ecd-ac5b-8babdae0bc8d;Enable DWG RAF Gap Finder;"# High-Level Description

* *DWG will leverage Care Gaps API to surface RAF Gaps at POC.* 
* Need to configure 27 DWG practices
  * staging for validation
  * production rollout

# PRD Link

[https://elationhealth.atlassian.net/wiki/spaces/PROD/pages/2187854067/PRD+HCC+Gap+Finder+DWG](https://elationhealth.atlassian.net/wiki/spaces/PROD/pages/2187854067/PRD+HCC+Gap+Finder+DWG|smart-link) ";subfeature;Build In Progress (FRD);yellow
13101023;eb86eaa9-8c25-4d1d-b0f3-7756da4cebe6;Modify existing insurance without creating new record;"Problem Statement:

<p></p>

Solution Statement: <span data-preserve-white-space></span>

<p></p>

Why Now:

<p></p>
<p></p>
<p></p>
<p></p>
<p></p>

Currently, any changes to insurance records create new instances of insurance in integrated PMS, mistakenly end\-dating active records\. This can result in claim edits\. Additionally, Elation users don’t have an easy way to see insurance effective and end dates or track previous insurance records\. This project will address both gaps by differentiating an insurance update vs\. creating new insurance, and by creating an insurance archive with effective & end date information\.

Key features

- Modify how insurance information is saved so that we can differentiate modifications to existing insurance records from the creation of new records

- Ensure that syncs to PMS integrators differentiate updating an insurance record from the creation of a new record


<https://miro.com/app/board/uXjVOzp3WGI=/>
";feature;Done (Archive);green
13111391;f8b561e7-a9d2-4ed3-bc32-829c82aeac5e;Dynamic Templates;"";subfeature;Backlog;smokeLight
13125017;82d996b8-e147-45d5-8976-9ff2dfc5503a;reconcile competing protocol definitions;"##### High Level Focus

- For Care Gaps customers participating in multiple programs, Elation simplifies any duplicated or overlapping gaps/reminders by unifying them into a single concept\.

- When this single concept gap/reminder is resolved, it will have appropriate side effects to resolve the individual program criteria behind the scenes reducing EHR fatigue


##### Key Persona

- Clinical Quality Managers


##### Key Measures

% of gaps/reminders displayed in the UX that map to multiple definitions behind the scenes\.

##### Options to Try

- Abstract away multiple overlapping definitions from gaps, focusing the UX on a single gap


##### Key Data Points

- Customers struggle with complexity of participating multiple quality programs where requirements overlap \(e\.g\. mammogram are a common measure across programs\)


##### Assumptions to Validate

- We can reliably identify overlapping measures


##### Current Behavior

- Care Gaps customers participating in multiple quality programs see duplicate reminders, one for each program \(e\.g\. multiple reminders for mammograms\) where the resolution criteria is essentially the same\.


##### Target Behavior

- Providers see one reminder, and when resolved it will satisfy any quality programs it maps to\.


##### Risks to Mitigate

- Complexity of identify overlapping definitions
";subfeature;Discovery Candidate;cyan
13140251;4d780326-3d2e-46bd-b3a8-4b6b68f34fa0;Data Science Projects;"[Framing Document](https://docs.google.com/document/d/19smnoa1T0gbMdGmxQVWJzjg7SiwsGEpAscwQ-eTkrow/edit)

#proj-data-science

[Product Opportunity Deck](https://docs.google.com/presentation/d/1Jv0OnpRiXYzD21iMctXkJQlKbD4QdxbSsHdnatvYs_0/edit#slide=id.g1265bcce6f2_0_79)

<p></p>

<p></p>";component;Backlog;smokeLight
13140587;e637b5c8-24ce-4b3b-a868-61df0662b95a;Data Science: Auto-Prescription;"# Hypotheses
1. Data is available (at runtime) to accurately predict a providers prescription choice
2. The supporting UX for this prediction will 
  1. reduce admin burden
  2. not overstep perceived clinical boundaries (i.e. annoy providers)
3. Elation could deploy, monitor, and update a related model in production


<p></p>

<p></p>

## Key Questions
- What is our tolerance for errors (i.e. predicting the wrong prescription)?
- How can we mitigate UX risks of the product being opinionated clinically?
- How much variance is there in prescription choices?
  - Would the model be global, practice, provider, patient, etc.. level?


<p></p>

# PRD Link
[https://elationhealth.atlassian.net/wiki/spaces/PROD/pages/2204926090/Data+Science+Auto-Prescription](https://elationhealth.atlassian.net/wiki/spaces/PROD/pages/2204926090/Data+Science+Auto-Prescription%7Csmart-link) ";subfeature;Discovery In Progress (PRD);plum
13141304;80b0bb9d-b6a3-45e3-91ad-0eeab79e0e79;Reduce Admin Burden;"";feature;Backlog;smokeLight
13191453;d5b8e0a6-efa1-4369-904f-908bea774831;Show email address being used to access Passport;"If the patient doesn’t remember which email address they used, they will be unable to log in to Passport. Support can generally figure out what the email address is (via the Elation admin), but since we can’t verify the identity of the person we’re communicating with, they are unable to disclose the email address to the patient.

<p></p>

Practices are unable to view the email address currently being used as the username for the Passport account. The email address in the patient demographics is decoupled from the Passport username. Practices can see the email address the initial invitation was sent to, but patients can change the email address they are using to log in, leaving the practice with no visibility into the current email address.

<p></p>

The proposal with this ticket is to allow practices to see (and potentially modify) the email address used to log in to the Passport account associated with a chart. This should simplify effort for the practice, and reduce Support tickets. 

<p></p>

Sample enhancements (not official designs)

![](https://pb-files.s3.amazonaws.com/production/attachments/a85f088dd98fdef074d1992826a78d56632e1339afea922748eee89fd1951b92/image.png)

<p></p>";feature;Done (Archive);green
13191534;b2eeb5e8-bb1c-4186-961e-7354da2319f1;Re-use the same invitation when re-inviting a patient to passport;"If a patient is having trouble getting registered for Passport, it’s not uncommon for a practice to click the “Re-send invitation” button multiple times. This results in multiple invitations being created and sent (it doesn’t resend the existing invitation, it sends a new one). This can result in confusion when the patient tries to use the new invitation code (that they just got via SMS) with the old invitation link (that was in the email they didn’t see the first time around, but just popped up to the top of their email inbox when the second invited arrived and got added to the same email thread).

<p></p>

To address this, we can consider re-sending the same invitation when a new request is made within a certain time period (ex: 10 minutes) ";subfeature;Backlog;smokeLight
13215232;ae666e5d-ab03-4174-9680-bbbca2c8f83d;Import All History from CP to VN;"Phill's hack:

<https://elation.slack.com/archives/C0388B1UUGJ/p1651277849478489>";feature;Discovery Candidate;cyan
13232156;a0d37900-0917-405d-9246-d9f89bba35e6;Low Hanging Fruit Explorations;"";subfeature;Backlog;smokeLight
13248876;74bc6b40-9421-42de-8e99-11a2e4f1d4c9;Reminder to add codes on empty bill (Missing Codes);"";feature;Done (Archive);green
13248885;c8d213e6-5f42-4a42-993b-06223d8fc4e4;Bill Dialog 2.0 - Direct feedback & Reactification (Missing and Invalid Codes);"Figma Design:

* Bill Dialogue: [https://www.figma.com/file/MCkkKGS72Y06YEFJT7ya92/Proj_Reducing-Code-Edits?node-id=578%3A285391](https://www.figma.com/file/MCkkKGS72Y06YEFJT7ya92/Proj_Reducing-Code-Edits?node-id=578%3A285391|smart-link)  
* coding feedbacks: [https://www.figma.com/file/MCkkKGS72Y06YEFJT7ya92/Proj_Reducing-Code-Edits?node-id=1363%3A393922](https://www.figma.com/file/MCkkKGS72Y06YEFJT7ya92/Proj_Reducing-Code-Edits?node-id=1363%3A393922|smart-link)  

PRD: [https://elationhealth.atlassian.net/wiki/spaces/PROD/pages/2112749569/PRD+Bill+Readiness+for+Missing+and+Invalid+Codes+WIP](https://elationhealth.atlassian.net/wiki/spaces/PROD/pages/2112749569/PRD+Bill+Readiness+for+Missing+and+Invalid+Codes+WIP|smart-link) 

Whiteboard: [https://miro.com/app/board/uXjVOEyH8Ic=/](https://miro.com/app/board/uXjVOEyH8Ic=/|smart-link) ";subfeature;Done (Archive);green
13248897;e5a5b29a-a9a4-4b9a-9e68-20f1777603c5;Configurable billing feedback defaults (Missing and Invalid Codes);Allow practices to opt in to missing bill reminder dialog and missing code rule feedback in Bill 2.0;subfeature;Done (Archive);green
13321297;96c6d01b-66f7-4fdb-af60-6c5e70a0a825;Upload PDFs of insurance card images;"";subfeature;Done (Archive);green
13343980;4d164123-f1b2-4ff3-91f7-1047e68bb2f9;Re-enable coding automation for small beta group and monitor performance;"[https://elationhealth\.atlassian\.net/wiki/spaces/PROD/pages/2188476913/RM\-27437\+Spike\+Re\-enable\+Billing\+Coding\+Automation](https://elationhealth.atlassian.net/wiki/spaces/PROD/pages/2188476913/RM-27437+Spike+Re-enable+Billing+Coding+Automation%7Csmart-link)
";subfeature;Done (Archive);green
13344123;ae4feb58-ed4c-4351-90bb-a9e3c00d824e;VN 2.0 prototype for Care Protocols in Chart;<p></p>;feature;Done;green
13344368;3fa8fa5d-f7f8-48a1-a560-0eb5e770ff8c;Slow roll-out of re-enabled coding automation to community;<p></p>;subfeature;Done (Archive);green
13347252;f5442950-19b0-40cb-8036-87abfe0a35b3;Billing Home GA;"PRD: 

<https://elationhealth.atlassian.net/wiki/spaces/PROD/pages/2272362883/PRD+Bill+Visibility+via+Billing+Report+2.0>

<p></p>

Overview:

Coding is the process by which clinical documentation and thought is translated into a language that helps practices get paid in both fee-for-service (FFS) and value-based contract arrangements (VBC). Practices large (VBO / enterprise) and small (SMB) have provided feedback that it is difficult to ensure the practice is billing for every visit, able to review and edit codes on draft superbills before release to integrated billing system, track changes, and find bills that need action. Looking ahead in the roadmap, we believe the billing report may be able to serve as a billing queue ""homebase"" for billers or billing tasks that clinicians/coders need to address. In order for us to quickly iterate and learn how to meet those needs in the Billing Report, we want to make an upfront investment in modernizing the codebase to align with the teams' skills to be able to quickly experiment and iterate.

<p></p>

Key outcomes:

- Modernize billing report (reactification with feature parity)

- Increase visibility of bills in Elation by eliminating ""invisible"" bills


<p></p>

Metrics of success:

- Eliminate ""invisible"" bills


<p></p>";feature;Done (Archive);green
13347254;0a2a3672-f852-4c96-bde5-02559af35bb2;Billing Report 2.0 - Feature parity & Reactification;"Reactification and feature parity of billing report

PRD: [https://elationhealth\.atlassian\.net/wiki/spaces/PROD/pages/2272362883|smart-link](https://elationhealth.atlassian.net/wiki/spaces/PROD/pages/2272362883)

Figma: [https://www\.figma\.com/file/MCkkKGS72Y06YEFJT7ya92/Proj\_Reducing-Code-Edits?node-id=2322%3A404625|smart-link](https://www.figma.com/file/MCkkKGS72Y06YEFJT7ya92/Proj_Reducing-Code-Edits?node-id=2322%3A404625)

Statuses & FE badges: [https://elationhealth\.atlassian\.net/wiki/spaces/PROD/pages/2379546636/RM-31700+User-facing+Billing+Visit+statuses+for+Billing+Home](https://elationhealth.atlassian.net/wiki/spaces/PROD/pages/2379546636/RM-31700+User-facing+Billing+Visit+statuses+for+Billing+Home)
";subfeature;Done (Archive);green
13351303;890a3564-9f5f-480e-857b-4d0ac867b487;CHR chronological record navigation;<p></p>;subfeature;Backlog;smokeLight
13352056;cbed9421-31ff-4448-aea5-25ef9a0005c9;Bidirectional IR R1: Immunization history;"[PRD](https://elationhealth.atlassian.net/wiki/spaces/PROD/pages/2146927463/PRD+Bidirectional+Immunization+Registry+interfaces)  
  
Gives users the ability to query immunization history and to save immunization history into the patient chart. ";subfeature;Done;green
13352069;78b233d4-68f5-4c9b-b73e-506a6daa5b9b;Bidirectional IR R1: Immunization forecast;"[PRD](https://elationhealth.atlassian.net/wiki/spaces/PROD/pages/2146927463/PRD+Bidirectional+Immunization+Registry+interfaces)  
Gives users the ability to query immunization forecast.";subfeature;Done;green
13352080;651809e4-427b-4bd0-9a68-281d3f22ada8;Connie HIE CCD integration;"# Scope
Integrating with Connie uses the Manifest MedEx product capabilities. The only work required for Connie is to setup the SFTP and adding an admin tool.
# Value
Elation supporting practices located in Connecticut.
# **Use Case**
- Practices in CT must have this integration by May 2023
- The submission process is expected to be automated and would not require a clinician to complete on their own 

# **Projected KR Impact**
- Prevent churn for CT practices, specifically tech forward customer Cityblock 
";subfeature;Done;green
13474317;2f911dce-f3b0-4efb-92ef-74b454b40894;Self-Serve Trial Account Provisioning;<p></p>;feature;Backlog;smokeLight
13537244;b5c2b9f2-3376-4000-843c-23b2dee96b8d;Bidirectional IR R1: Beta release;"";subfeature;Done;green
13580595;3fcf084d-f325-4d25-8a5f-1fd23910c32d;Display all outbound patient communications in Elation Admin;"A challenge facing customer teams is the inability to view communications (email, phone, sms) sent to patients. In some cases this information can be found by logging in to the practices EHR, but in many cases the information is only available in external services like Twilio, or not available at all.

<p></p>

The patient chart detail page in the Elation Admin should display logs of all communications sent to the patient, as well the ability to view the contents of those communications behind an additional layer of role based access control and explicit logging.";feature;Backlog;smokeLight
13582962;c278eb5e-dc64-41db-9491-ed4c34e5e62a;Dx Code automation for prescriptions;"We're curious about automating Dx code for prescriptions by pulling in the top one or two codes from the Visit Note's assessment.  
Hypothesis:

- 80% of the time Rx diagnosis will match top note assessments

- ~5 seconds time savings per dx

- ^ % in association of any Dx for prescriptions
";feature;Discovery Candidate;cyan
13583017;83a30604-c7d8-45b0-b968-c4b5623531b6;Default Visit Note to Fullscreen;Hypothesis is that defaulting the note to fullscreen will make it possible not to scroll as much.;feature;Cancelled;red
13583095;729a1a00-599d-41df-bfcc-522eafedb60e;Understand Visit Note Usage;"Think through and operationalize measurement of notes.

Includes instrumentation of amplitude tags where applicable(i.e.: Default Visit Note to Fullscreen)";feature;Done;green
13648672;c2a4c264-0c8a-438d-ac46-ad208b5b7c1f;Medicare AWV Rule;"PRD: [https://elationhealth\.atlassian\.net/wiki/spaces/PROD/pages/2272526885/PRD+Touchless+Claims+-+Medicare+AWV](https://elationhealth.atlassian.net/wiki/spaces/PROD/pages/2272526885/PRD+Touchless+Claims+-+Medicare+AWV)

Overview:

- Add rules to billing dialog feedback panel to cover medicare vs commercial wellness visit codes


Out of scope:

- Add rules to billing dialog feedback panel to cover new vs established patient wellness visit codes
";feature;Done (Archive);green
13649087;2cda39fd-d4ff-43fc-a592-dbd4896c1f90;[Insurance Versioning] AMD Bidi;"**Background**

The logic behind demodog's insurance inputs will be updated by the FOPE team to allow for the capture of correct insurance start and end dates\. \(Today the start date displayed indicates when the eligibility check was done\)

In response B Team will need to adopt these changes into our AMD v1\.5 integrations to reduce redundant insurance info and simplify integration logic

<p></p>
<p></p>
";feature;Backlog;smokeLight
13650971;70acfd00-36e5-4e27-861a-f63ad2ce418d;Tertiary Insurance;"Problem Statement:

<p></p>

Solution Statement: <span data-preserve-white-space></span>

<p></p>

Why Now:

<p></p>
<p></p>
<p></p>
<p></p>
<p></p>

Elation users can document information about a patient's primary and secondary insurance information, but it is possible for patients to have additional insurance\. With this new functionality, Elation will be able to support documentation of additional levels of insurance \(tertiary, etc\.\)

<p></p>

Key features

- Add option for staff to specify tertiary and additional levels of insurance information for a patient


<p></p>

Note \- needs partner/integration adoption to fully deliver value for most customers
";feature;Done (Archive);green
13650976;2d00c763-5fec-44c5-8d62-ae7e606d1b6a;Enable forms to be sent without appointments;"**Problem Statement:**

There is no way to send forms without an appointment\. This creates a problem for customers who need to request the completion of a form ad\-hoc, such as requesting additional information for an unplanned procedure\. <span data-preserve-white-space></span>

<p></p>

**Solution Statement:** <span data-preserve-white-space></span>

Create a way to send and collect forms without an appointment\. <span data-preserve-white-space></span>

<p></p>

**Why Now:** Feedback from clients <span data-preserve-white-space></span>

<p></p>

**Definition of success**

Users can send patient forms to patients without having to book an appointment for that patient\. <span data-preserve-white-space></span>

<p></p>

**Key Links:**

- PRD \- NOT NEEED

- [FRD](https://elationhealth.atlassian.net/wiki/spaces/PROD/pages/2650079266/FRD+Forms+without+appointment+WIP)

- [Post\-Release Report](https://elationhealth.atlassian.net/wiki/spaces/PROD/pages/2707456039/Post-Release+Report+-+Patient+Forms+Enhancements)


<p></p>
<p></p>
<p></p>
<p></p>
<p></p>
<p></p>
<p></p>
<p></p>
";subfeature;Done;green
13679053;998fbc7b-2caa-41c3-acb3-ed46301b611d;Confidential chart item enhancements;"";feature;Backlog;smokeLight
13780554;939cda5d-8902-44ba-ae19-9221c0567bab;Invisible forms, design and patterns;<https://github.com/elationemr/vital/milestone/3>;feature;Done (Archive);green
13780565;055e8063-7fbc-4b82-921d-69a54a19f4c0;Figma component clean up;"";feature;Done (Archive);green
13780577;f5bdad32-1093-4a7f-8a27-5d9a826341b8;Drag 'n' drop patterns;"";feature;Backlog;smokeLight
13780583;ed84fe2f-e24e-4be2-8fda-0fd827e34d66;Secondary color palette;"";feature;Done (Archive);green
13839819;f1618460-66d6-4ad5-972e-197e5ac1ca92;Salesforce;"";component;Backlog;smokeLight
13839824;aec6746b-d0f4-48b7-a878-bbc4f64d2193;Zoom Webinar/SFDC integration;The Elation Customer Success team hosts Success Programs (webinars and other events designed to inform and engage Elation customers) on a recurring and periodic basis. For those programs conducted as webinars, the participant data is captured for each specific Zoom Webinar but is hard to access and requires significant manual effort in order to analyze the results. We’d like to create a new data model in Salesforce to capture that program attendance data and allow us to leverage the native reporting and dashboard capabilities to analyze the results and impact of our programs. We’d also like to automate the population of that new data model through an integration between Zoom Webinar and Salesforce.;feature;Backlog;smokeLight
13839910;9bbcda7e-952a-4c4b-a12f-542ef42e4223;Improve user invitation experience;"Our user invitation process presents a number of internal and external challenges. Issues include:

- Lack of practice visibility into invite status/resending/extending

- Insufficient information re: billing implications/etc when practices are adding users

- Lack of automation for internal workflows
";feature;Done (Archive);green
13842702;1c04b4ed-b7bf-4722-b22f-14a5b7c615c9;Automate billing workflows when users are added;"";subfeature;Backlog;smokeLight
13842710;c879bb5d-8575-4ddd-9aff-9c492ea0f8f0;Gather (and provide) more information when adding users;<p></p>;subfeature;Done (Archive);green
13845919;44cfb264-574e-4b53-9c7d-70f08fe7ea7f;Outbound HIE tool;"The HIE Admin Tool will allow practices to proactively provide data to HIEs through direct connections to health information exchanges\. The Admin tool will allow:

- Management of each HIE interface, including the SFTP credentials and file delivery location\.

- Ability to manage live HIE interfaces for each practice\.


### Problem

Practices must comply with legal requirements to connect their EHR to state HIEs\.

### Value

If Elation scales HIE interfaces, practices in states with legal requirements to connect to HIEs do not have to change EHRs to comply\.

If Elation enables proactive and automatic data sharing to HIEs, practices will not have to manually share patient data with other practices in their region connected to the HIE\. <span data-preserve-white-space></span>
";feature;Done;green
13846372;eaf28e92-490c-4831-89e3-18aff4e564b5;Rx Form Unification: Controlled substance and non-controlled prescription forms;"<https://elationhealth.atlassian.net/wiki/spaces/PROD/pages/900661341/PRD+Prescription+Form+unification>

1. Combined Prescription Form and Controlled Substance Form into a new Prescription Form, where both non\-controlled and controlled medications can be selected and prescribed;

1. Queueing controlled substances, which previously could not be queued;

1. Specifying different pharmacy destinations in a queue;

1. Giving visibility and selection choices for the packaging and National Drug Code \(NDC\) associated with the selected medication and in Rx Templates; and

1. Moving pharmacy selection to the initial Prescription Form preparation\.

   <p></p>


**Problem Statement**

Elation’s prescribing forms are not currently sufficient to support ODF or RTPB and are not efficient for our users' prescribing workflows\.

**Solution Statement**

Combine Prescription and Controlled Substance Forms into one updated form that can support ODF and RTPB and incorporates user feedback about prescribing efficiency and ability\.

**Why Now**

Surescripts Partner commitment, Crossover and Suvida commitment
";feature;Done (Archive);green
13863101;9ade159a-1993-4aa1-9b01-ef563040158e;OCR for incoming faxes;"Front office staff spend a lot of time reviewing and filing incoming faxes. We believe we can reduce front office administrative burden by making it easier to file incoming faxes to the appropriate patient chart. By using Optical Character Recognition (OCR) to scan incoming faxes, we can identify the relevant patient, and suggest a chart for filing the document. If this is done well, we can see if it is possible to eventually automate the filing of incoming faxes, further reducing front office administrative work. 

<p></p>

<https://miro.com/app/board/uXjVOs2zOcU=/>";feature;Backlog;smokeLight
13869914;15bb6d7b-97fb-48b3-9c6e-30e2a939ec32;Enable staff to review patient forms;"**Problem Statement:**
Customers who participated in the Insurance Card Upload on Patient Forms beta expressed frustration about the current behavior wherein providers are asked to sign off on insurance card\-specific forms, as well as archived insurance card images\.

**Solution Statement:**
Our goal with this enhancement is to make the requirement that a provider sign\-off on patient forms configurable, so a practice can determine what items require provider review\. <span data-preserve-white-space></span>

**Why Now:**
This can bring the Insurance Card Upload on Patient forms from beta to GA

**Definition of success:**
A configuration that allows the practice to determine whether a provider needs to sign\-off on a form\. <span data-preserve-white-space></span>

<p></p>

**Key Links:**

- PRD \- NOT NEEED

- [FRD: Enable staff to review patient forms](https://elationhealth.atlassian.net/wiki/spaces/PROD/pages/2680881605/FRD%3A+Enable+staff+to+review+patient+forms)

- [Post\-Release Report](https://elationhealth.atlassian.net/wiki/spaces/PROD/pages/2707456039/Post-Release+Report+-+Patient+Forms+Enhancements)
";subfeature;Released (PRR);lime
13869923;2ce18c4c-76bb-4948-88fa-f2b3a1248eb4;Fax stability;"";subfeature;Backlog;smokeLight
13869928;35e232bb-ed2c-4598-8183-8c33dff2e1f4;Display fax error information in Elation Phase 1;"";feature;Done (Archive);green
13890420;c355833b-ba5a-475e-8d4f-939bf0eab7cd;Configurable Chart Page Titles;"The patient chart page uses the patient's name as the page title. This results in the patients name being stored in the browser history, and visible to other users of the same computer.

<p></p>

We also have many users that rely on the current behavior, and use individual computers to mitigate the risk.

<p></p>

Because avoiding shared computers isn't always possible, we should give practices the ability to configure what is shown (e.g. choose between the PID, the patient's name, or maybe the patient's initials)";feature;Backlog;smokeLight
13899071;10180124-278f-4f5e-80fd-096ca169ba7f;FHIR CQM POC;<https://docs.google.com/presentation/d/18ap9Qr9OOxenRcSbRgUiHN8f1JumUY2KufieDWVoHhc/edit#slide=id.p>;subfeature;Discovery In Progress (PRD);plum
13950518;43f6e001-705f-494a-8576-287af74890bd;Create irregular recurring events;"";feature;Backlog;smokeLight
13950544;6241a351-d7ee-4816-8c3a-145865b5771f;Show all upcoming appointments in Passport;"";feature;Backlog;smokeLight
13991518;bc79eb9c-1746-4af8-a353-4273dad5cdae;Insurance Card Upload: Support PDF uploads on patient forms;"";subfeature;Done (Archive);green
13998552;dcc2479f-4cfa-4f12-bc54-064738d00fc4;Cards 1.1;<https://github.com/elationemr/vital/milestone/2>;feature;Cancelled;red
14086495;4b8c51c1-2f03-433e-a2a2-5303a6b22a92;Bill Dialog 2.0 -  Community release;"";subfeature;Done (Archive);green
14133180;23ad289e-80e8-4ee4-8416-1071107aa317;Improve data reconciliation for subscriber information;Our data reconciliation functionality works well for patient fields, but the policyholder reconciliation is a bit limited. The goal of this effort is to ensure we're properly comparing policyholder data and updating the correct fields in Demographics;subfeature;Done (Archive);green
14151236;8b0a06b4-c478-4f4a-8192-615b3c324508;[Scheduling] Time Zone Selector on Booking Site and Demographics;"Generally, scheduling information in Elation is based on the time zone associated with the practice\. This can create confusion in cases where the patient is not in the practice time zone\.

With this functionality, we plan to convert available appointments on the booking site into the patient's time zone \(pulled from their browser\) to more accurately represent appointment availability\. We also plan to provide a field in demographics where the patient's time zone can be recorded\. This recorded time zone will be used to ensure we specify the patient's time zone in appointment reminders and confirmations\.

<p></p>

Key Features

- Use patient's browser time zone to convert the appointment slots shown on the booking site to the patient's time zone

- Provide a time zone selector on the booking site that the patient can use to override the browser time zone <span data-preserve-white-space></span>

- Create a field in demographics where the patient's time zone can be recorded

- Reflect the patient's time zone in subsequent appointment confirmations and reminders if a time zone is on file, otherwise fall back to the practice time zone
";feature;Done;green
14151243;d0e3612a-b522-466a-9499-6e80c52e4881;Appointment Slot Functionality;"";subfeature;Backlog;smokeLight
